user_id,days_since_prior_order,order_number,avg_basket_size,avg_reorder_rate,preferred_dow,preferred_hour,is_dormant_rule
1,14.0,11,6.363636363636363,0.7285714285714285,4,8,False
2,30.0,15,15.066666666666666,0.4646017699115044,1,11,False
3,7.0,12,7.333333333333333,0.625,0,16,False
4,0.0,5,3.6,0.05555555555555555,4,15,False
5,6.0,5,9.2,0.391304347826087,0,18,False
6,0.0,3,4.666666666666667,0.14285714285714285,4,16,False
7,6.0,21,10.238095238095237,0.6790697674418604,0,9,False
8,10.0,4,16.75,0.2537313432835821,1,0,False
9,30.0,4,24.5,0.40816326530612246,5,12,False
10,30.0,6,24.5,0.3333333333333333,5,15,False
11,30.0,7,13.428571428571429,0.35106382978723405,5,11,False
12,14.0,5,14.8,0.17567567567567569,5,9,False
13,8.0,13,6.615384615384615,0.6511627906976745,6,13,False
14,11.0,14,15.785714285714286,0.3438914027149321,5,8,False
15,17.0,22,3.272727272727273,0.8194444444444444,1,11,False
16,30.0,6,11.666666666666666,0.34285714285714286,2,14,False
17,30.0,41,7.317073170731708,0.7133333333333334,5,12,False
18,7.0,7,7.142857142857143,0.3,6,16,False
19,5.0,9,22.666666666666668,0.3480392156862745,5,12,False
20,6.0,4,5.5,0.6818181818181818,2,11,False
21,28.0,34,6.205882352941177,0.5118483412322274,1,9,False
22,16.0,15,4.6,0.5072463768115942,5,9,False
23,30.0,5,10.4,0.19230769230769232,5,12,False
24,0.0,19,2.0526315789473686,0.5384615384615384,0,8,False
25,30.0,3,7.0,0.09523809523809523,1,14,False
26,7.0,12,4.666666666666667,0.39285714285714285,3,17,False
27,4.0,82,9.573170731707316,0.7159235668789808,1,14,False
28,2.0,24,7.625,0.4207650273224044,0,15,False
29,13.0,19,12.736842105263158,0.7231404958677686,5,11,False
30,22.0,9,1.3333333333333333,0.5,1,13,False
31,3.0,20,14.95,0.36454849498327757,0,11,False
32,20.0,5,22.8,0.2982456140350877,3,12,False
33,0.0,3,17.666666666666668,0.3584905660377358,3,14,False
34,30.0,6,6.166666666666667,0.24324324324324326,4,14,False
35,4.0,9,20.444444444444443,0.5108695652173914,6,16,False
36,0.0,37,4.135135135135135,0.6405228758169934,0,17,False
37,16.0,24,8.333333333333334,0.445,5,16,False
38,30.0,13,16.46153846153846,0.5467289719626168,0,10,False
39,0.0,7,20.142857142857142,0.5177304964539007,6,12,False
40,15.0,9,11.555555555555555,0.6538461538461539,0,9,False
41,30.0,6,13.333333333333334,0.275,0,20,False
