user_id,days_since_prior_order,order_number,avg_basket_size,avg_reorder_rate,preferred_dow,preferred_hour,is_dormant_rule,cluster_id,segment
1,14.0,11,6.363636363636363,0.7285714285714285,4,8,False,0,champion
2,30.0,15,15.066666666666666,0.4646017699115044,1,11,False,2,dormant
3,7.0,12,7.333333333333333,0.625,0,16,False,0,champion
4,0.0,5,3.6,0.0555555555555555,4,15,False,0,champion
5,6.0,5,9.2,0.391304347826087,0,18,False,0,champion
6,0.0,3,4.666666666666667,0.1428571428571428,4,16,False,0,champion
7,6.0,21,10.238095238095235,0.6790697674418604,0,9,False,3,regular
8,10.0,4,16.75,0.2537313432835821,1,0,False,1,at-risk
9,30.0,4,24.5,0.4081632653061224,5,12,False,1,at-risk
10,30.0,6,24.5,0.3333333333333333,5,15,False,1,at-risk
11,30.0,7,13.428571428571429,0.351063829787234,5,11,False,2,dormant
12,14.0,5,14.8,0.1756756756756756,5,9,False,0,champion
13,8.0,13,6.615384615384615,0.6511627906976745,6,13,False,0,champion
14,11.0,14,15.785714285714286,0.3438914027149321,5,8,False,1,at-risk
15,17.0,22,3.272727272727273,0.8194444444444444,1,11,False,3,regular
16,30.0,6,11.666666666666666,0.3428571428571428,2,14,False,2,dormant
17,30.0,41,7.317073170731708,0.7133333333333334,5,12,False,3,regular
18,7.0,7,7.142857142857143,0.3,6,16,False,0,champion
19,5.0,9,22.666666666666668,0.3480392156862745,5,12,False,1,at-risk
20,6.0,4,5.5,0.6818181818181818,2,11,False,0,champion
21,28.0,34,6.205882352941177,0.5118483412322274,1,9,False,2,dormant
22,16.0,15,4.6,0.5072463768115942,5,9,False,0,champion
23,30.0,5,10.4,0.1923076923076923,5,12,False,2,dormant
24,0.0,19,2.0526315789473686,0.5384615384615384,0,8,False,0,champion
25,30.0,3,7.0,0.0952380952380952,1,14,False,2,dormant
26,7.0,12,4.666666666666667,0.3928571428571428,3,17,False,0,champion
27,4.0,82,9.573170731707316,0.7159235668789808,1,14,False,3,regular
28,2.0,24,7.625,0.4207650273224044,0,15,False,0,champion
29,13.0,19,12.736842105263158,0.7231404958677686,5,11,False,1,at-risk
30,22.0,9,1.3333333333333333,0.5,1,13,False,2,dormant
31,3.0,20,14.95,0.3645484949832775,0,11,False,0,champion
32,20.0,5,22.8,0.2982456140350877,3,12,False,1,at-risk
33,0.0,3,17.666666666666668,0.3584905660377358,3,14,False,1,at-risk
34,30.0,6,6.166666666666667,0.2432432432432432,4,14,False,2,dormant
35,4.0,9,20.444444444444443,0.5108695652173914,6,16,False,1,at-risk
36,0.0,37,4.135135135135135,0.6405228758169934,0,17,False,3,regular
37,16.0,24,8.333333333333334,0.445,5,16,False,0,champion
38,30.0,13,16.46153846153846,0.5467289719626168,0,10,False,1,at-risk
39,0.0,7,20.142857142857142,0.5177304964539007,6,12,False,1,at-risk
40,15.0,9,11.555555555555555,0.6538461538461539,0,9,False,1,at-risk
41,30.0,6,13.333333333333334,0.275,0,20,False,2,dormant
42,14.0,17,8.235294117647058,0.5642857142857143,3,13,False,0,champion
43,26.0,12,15.0,0.4388888888888889,4,12,False,1,at-risk
44,30.0,4,10.75,0.1627906976744186,0,9,False,2,dormant
45,30.0,4,4.5,0.0555555555555555,2,8,False,2,dormant
46,11.0,20,8.15,0.6196319018404908,0,16,False,0,champion
47,16.0,6,5.333333333333333,0.15625,2,22,False,0,champion
48,14.0,11,11.454545454545457,0.4761904761904761,5,11,False,0,champion
49,2.0,9,5.888888888888889,0.0566037735849056,2,11,False,0,champion
50,7.0,68,6.75,0.8061002178649237,1,10,False,3,regular
51,17.0,3,9.666666666666666,0.1724137931034483,5,14,False,2,dormant
52,3.0,28,6.428571428571429,0.6833333333333333,1,10,False,3,regular
53,13.0,4,12.0,0.0625,3,15,False,0,champion
54,2.0,77,8.03896103896104,0.5961227786752827,6,11,False,3,regular
55,30.0,8,12.5,0.52,2,13,False,2,dormant
56,6.0,13,11.846153846153848,0.6558441558441559,1,8,False,0,champion
57,10.0,14,5.142857142857143,0.5694444444444444,6,10,False,0,champion
58,4.0,15,6.466666666666667,0.3298969072164948,0,10,False,0,champion
59,10.0,11,10.272727272727272,0.3893805309734513,0,12,False,0,champion
60,24.0,8,8.375,0.3283582089552239,5,20,False,2,dormant
61,14.0,4,21.75,0.0919540229885057,5,11,False,1,at-risk
62,29.0,11,8.727272727272727,0.3645833333333333,4,12,False,2,dormant
63,13.0,40,12.95,0.6158301158301158,1,14,False,3,regular
64,27.0,11,13.727272727272728,0.609271523178808,6,20,False,1,at-risk
65,30.0,15,9.333333333333334,0.4142857142857143,0,9,False,2,dormant
66,23.0,7,4.285714285714286,0.2666666666666666,3,17,False,2,dormant
67,5.0,25,3.36,0.7261904761904762,1,11,False,3,regular
